section,arm,caller,within_type_depth_quintile,bg_pct,enrichment
sham,sham,tierA_score,Q1,20.09,1.578
sham,sham,tierA_score,Q2,20.01,1.215
sham,sham,tierA_score,Q3,19.97,1.02
sham,sham,tierA_score,Q4,19.97,0.757
sham,sham,tierA_score,Q5,19.96,0.427
sham,sham,senepy_score,Q1,20.09,0.124
sham,sham,senepy_score,Q2,20.01,0.361
sham,sham,senepy_score,Q3,19.97,0.724
sham,sham,senepy_score,Q4,19.97,1.27
sham,sham,senepy_score,Q5,19.96,2.528
sham,sham,deepscence_score,Q1,20.09,1.784
sham,sham,deepscence_score,Q2,20.01,1.198
sham,sham,deepscence_score,Q3,19.97,0.958
sham,sham,deepscence_score,Q4,19.97,0.665
sham,sham,deepscence_score,Q5,19.96,0.389
sham,sham,cdkn1a_counts,Q1,20.09,0.384
sham,sham,cdkn1a_counts,Q2,20.01,0.765
sham,sham,cdkn1a_counts,Q3,19.97,1.021
sham,sham,cdkn1a_counts,Q4,19.97,1.226
sham,sham,cdkn1a_counts,Q5,19.96,1.609
sbr,SBR,tierA_score,Q1,20.09,1.788
sbr,SBR,tierA_score,Q2,19.99,1.284
sbr,SBR,tierA_score,Q3,19.98,0.924
sbr,SBR,tierA_score,Q4,19.96,0.689
sbr,SBR,tierA_score,Q5,19.98,0.311
sbr,SBR,senepy_score,Q1,20.09,0.094
sbr,SBR,senepy_score,Q2,19.99,0.393
sbr,SBR,senepy_score,Q3,19.98,0.777
sbr,SBR,senepy_score,Q4,19.96,1.203
sbr,SBR,senepy_score,Q5,19.98,2.539
sbr,SBR,deepscence_score,Q1,20.09,1.327
sbr,SBR,deepscence_score,Q2,19.99,1.111
sbr,SBR,deepscence_score,Q3,19.98,1.028
sbr,SBR,deepscence_score,Q4,19.96,0.866
sbr,SBR,deepscence_score,Q5,19.98,0.667
sbr,SBR,cdkn1a_counts,Q1,20.09,0.276
sbr,SBR,cdkn1a_counts,Q2,19.99,0.547
sbr,SBR,cdkn1a_counts,Q3,19.98,0.746
sbr,SBR,cdkn1a_counts,Q4,19.96,1.172
sbr,SBR,cdkn1a_counts,Q5,19.98,2.263
