section,arm,week,call,celltype,module,n,n_senders,design,lam_near,beta_near,rss_near,aic_near,railed_near,lam_sup,beta_sup,rss_sup,aic_sup,railed_sup,aic0,rss0,d_aic,d_aic_near_vs_cov,d_aic_sup_vs_cov,boot_win_sup,d_aic_per1k,d_aic_per1k_lo,d_aic_per1k_hi,r_regressors,sd_y,beta_sup_sd,beta_near_sd
7259_liver_sbr_Male_26-U1,sbr,26,senepy_p95,Biliary/ductular,downstream_arrest,31826,3171,naive,13.48099749887925,-0.00021708827586661316,7.348536664813084,-266488.20907671435,0.0,17.345738419684505,-0.00018932285859467644,7.348431720520217,-266488.66358637606,0.0,-266492.08082446887,7.348566277966703,-0.45450966170756146,3.8717477545142174,3.417238092806656,0.8,-0.014281080302506173,-0.27852484570245956,0.04937187676911888,0.8285379830710841,0.015195334980746886,-0.004279101230127643,-0.014286508071548696
7259_liver_sbr_Male_26-U1,sbr,26,senepy_p95,Biliary/ductular,downstream_arrest,31826,3171,ctrl,49.99999999999999,0.00023659120962390168,7.281132357479817,-266735.4795070321,1.0,49.99999999999999,4.4939440647217666e-05,7.281038160844686,-266735.8912453929,1.0,-266739.24122371414,7.281186871992209,-0.4117383608245291,3.7617166820564307,3.3499783212319016,0.735,-0.012937169635660438,-0.1947849921006379,0.055628622878599064,0.5382232868905621,0.015195334980746886,0.005137097424496689,0.015569989730934031
7259_liver_sbr_Male_26-U1,sbr,26,senepy_p95,Biliary/ductular,downstream_arrest,31826,3171,ctrl+N2,6.999999999999999,0.0001331151436007584,7.2809207132075295,-266734.40462254675,,6.999999999999999,-7.279022966313782e-05,7.2807967109195975,-266734.94665982167,,,,-0.5420372749826757,,,,,,,,0.015195334980746886,,
7259_liver_sbr_Male_26-U1,sbr,26,senepy_p95,Biliary/ductular,emt_ecm,31826,3171,naive,49.99999999999999,0.00720589716215449,23.170002307259495,-229940.5916251059,1.0,20.177866835741543,0.003492348266565646,23.15501354585005,-229961.18664611038,0.0,-229867.98793955805,23.225838584053704,-20.595021004468435,-72.60368554785964,-93.19870655232808,0.89,-0.647113083782707,-1.7561952819415954,0.2031425638238938,0.7932021198275906,0.027014359341552104,0.05522143739601391,0.2667432187001379
7259_liver_sbr_Male_26-U1,sbr,26,senepy_p95,Biliary/ductular,emt_ecm,31826,3171,ctrl,19.185852382096297,0.0004746068279814042,21.240408842826156,-232661.9575839767,0.0,49.99999999999999,-0.0003174563226266169,21.233216751155034,-232672.73582616876,1.0,-232665.67007373436,21.240600725647695,-10.778242192056496,3.7124897576577496,-7.065752434398746,0.96,-0.33866154062893533,-1.0038391466309127,0.012788351802912606,0.5018152365130126,0.027014359341552104,-0.020412195857880178,0.017568687154976118
7259_liver_sbr_Male_26-U1,sbr,26,senepy_p95,Biliary/ductular,emt_ecm,31826,3171,ctrl+N2,42.98209161773131,0.00039448805895831856,21.23792564071274,-232663.67855804562,,49.99999999999999,-0.00033047326379895904,21.233141096617594,-232670.84922328734,,,,-7.1706652417295205,,,,,,,,0.027014359341552104,,
7259_liver_sbr_Male_26-U1,sbr,26,senepy_p95,Biliary/ductular,il6_jak_stat3,31826,3171,naive,6.999999999999999,0.0053154837765404285,25.639728102399932,-226717.10827834936,1.0,49.99999999999999,0.00024339635365539178,25.63882802086596,-226718.2255482988,1.0,-226715.1648648067,25.644516694654175,-1.117269949434558,-1.9434135426708963,-3.060683492105454,0.8,-0.0351055724701363,-0.9898011957611055,0.09522762198979655,0.36731306510848283,0.028386132791669218,0.014893893902873706,0.18725635560731133
7259_liver_sbr_Male_26-U1,sbr,26,senepy_p95,Biliary/ductular,il6_jak_stat3,31826,3171,ctrl,49.99999999999999,-0.002252388298662719,24.6613312820959,-227909.34800498578,1.0,49.99999999999999,-0.00043301609489215483,24.652482635741368,-227920.76943032397,1.0,-227906.97285766713,24.666271751133177,-11.42142533819424,-2.375147318642121,-13.79657265683636,0.895,-0.35887090235009866,-1.0535338091389268,0.08396877300460358,0.5382232868905621,0.028386132791669218,-0.026497092822892337,-0.07934819142551194
7259_liver_sbr_Male_26-U1,sbr,26,senepy_p95,Biliary/ductular,il6_jak_stat3,31826,3171,ctrl+N2,49.99999999999999,-0.002218878671926189,24.657755646014625,-227911.96277793517,,42.98209161773131,-0.00036229081289991825,24.640838976593066,-227933.80477754038,,,,-21.841999605214,,,,,,,,0.028386132791669218,,
7259_liver_sbr_Male_26-U1,sbr,26,senepy_p95,Biliary/ductular,interferon_response,31826,3171,naive,6.999999999999999,0.007545210827038306,23.208895997949096,-229887.21256974695,1.0,28.716686174618605,0.000917493775720058,23.204573863553268,-229893.13999771516,0.0,-229877.984321377,23.218544613966703,-5.927427968214033,-9.228248369938228,-15.155676338152261,0.705,-0.18624483027128866,-2.877862241766501,0.1397049464625926,0.5419583226082159,0.027010117139473887,0.024529707531502992,0.2793475788274914
