sample,module,sender_call,celltype,n_cells,n_senders,prevalence,median_nn_um,med_d_sender_um,celltype_source,sender_source,module_source,condition,week,mouse,family,units,lam,pow_p,beta,d_half,d_05,amp,aic,delta_aic_vs_null,rss,k_params,se_lam_iid,ci_lam_iid_lo,ci_lam_iid_hi,ci_lam_blk_lo,ci_lam_blk_hi,ci_dhalf_blk_lo,ci_dhalf_blk_hi,se_ratio,lam_at_bound
7361_liver_sbr_Male_2-U1,secondary_senescence,tierA_p95,ALL,184284,9700,0.05000412405146816,8.773145145970076,27.267257690429688,provisional:unstratified (Bio celltypes_*.csv pending),provisional:Cdkn1a>0 (Bio senders_*.csv pending),provisional:z-mean of Tier B sets (Bio pending),sbr,2,7361,exponential,um,399.9999999999999,,0.4442887004353653,191.20000000000002,511.40000000000003,0.7594915367916579,-599213.4634099932,-1451.806287448504,7133.902800179863,3,195.09960456114487,17.60477506015593,782.3952249398438,399.9999999999999,399.9999999999999,191.20000000000002,191.20000000000002,0.03862115796624474,1.0
7361_liver_sbr_Male_2-U1,secondary_senescence,tierA_p95,ALL,184284,9700,0.05000412405146816,8.773145145970076,27.267257690429688,provisional:unstratified (Bio celltypes_*.csv pending),provisional:Cdkn1a>0 (Bio senders_*.csv pending),provisional:z-mean of Tier B sets (Bio pending),sbr,2,7361,gaussian,um,53.148118460206966,,0.11071512003053859,62.6,130.20000000000002,1.0,-599267.1988861117,-1505.5417635670165,7131.822924665521,3,3.534391860349269,46.2207104139224,60.075526506491535,36.894810765175784,95.996810946196,43.6,113.1099999999999,4.639790060301613,0.0
7361_liver_sbr_Male_2-U1,secondary_senescence,tierA_p95,ALL,184284,9700,0.05000412405146816,8.773145145970076,27.267257690429688,provisional:unstratified (Bio celltypes_*.csv pending),provisional:Cdkn1a>0 (Bio senders_*.csv pending),provisional:z-mean of Tier B sets (Bio pending),sbr,2,7361,powerlaw,um,399.9999999999999,0.5,0.92403644819604,193.4,518.2,0.3578387009320646,-599205.7882366925,-1444.1311141478363,7134.122497810199,4,202.02310879275993,4.034706766190425,795.9652932338093,399.9999999999999,399.9999999999999,193.4,193.4,0.0,1.0
7361_liver_sbr_Male_2-U1,secondary_senescence,tierA_p95,ALL,184284,9700,0.05000412405146816,8.773145145970076,27.267257690429688,provisional:unstratified (Bio celltypes_*.csv pending),provisional:Cdkn1a>0 (Bio senders_*.csv pending),provisional:z-mean of Tier B sets (Bio pending),sbr,2,7361,step,um,38.92103695602845,,0.03512717277046477,39.0,39.0,1.0,-598912.0176158284,-1150.3604932837188,7145.581756580503,3,0.020639474383084912,38.880583586237606,38.9614903258193,33.321614053498976,42.06429250594897,33.4,42.2,166.52133580973126,0.0
7361_liver_sbr_Male_2-U1,secondary_senescence,tierA_p95,ALL,184284,9700,0.05000412405146816,8.773145145970076,27.267257690429688,provisional:unstratified (Bio celltypes_*.csv pending),provisional:Cdkn1a>0 (Bio senders_*.csv pending),provisional:z-mean of Tier B sets (Bio pending),sbr,2,7361,spline,um,,,,175.10000000000002,232.5,0.09376346106357848,-599445.1544570497,-1683.4973345049657,7124.552719462103,8,,,,,,131.91500000000002,274.19,,0.0
7361_liver_sbr_Male_2-U1,secondary_senescence,tierA_p95,ALL,184284,9700,0.05000412405146816,8.773145145970076,27.267257690429688,provisional:unstratified (Bio celltypes_*.csv pending),provisional:Cdkn1a>0 (Bio senders_*.csv pending),provisional:z-mean of Tier B sets (Bio pending),sbr,2,7361,exponential,um_covadj,55.32502743773104,,0.058306593976899905,38.400000000000006,165.8,0.9999664593133666,-628504.9738483386,-428.53376860311255,6085.11536900527,9,13.855782988902352,28.16769277948243,82.48236209597965,34.84001010106609,115.15727636554735,24.295,79.13499999999998,1.7374562470132946,0.0
7361_liver_sbr_Male_2-U1,secondary_senescence,tierA_p95,ALL,184284,9700,0.05000412405146816,8.773145145970076,27.267257690429688,provisional:unstratified (Bio celltypes_*.csv pending),provisional:Cdkn1a>0 (Bio senders_*.csv pending),provisional:z-mean of Tier B sets (Bio pending),sbr,2,7361,spline,um_covadj,,,,,,-0.3320017899001297,-628676.7271983175,-600.287118582055,6079.116775088014,14,,,,,,,,,0.0
7361_liver_sbr_Male_2-U1,secondary_senescence,tierA_p95,ALL,184284,9700,0.05000412405146816,8.773145145970076,27.267257690429688,provisional:unstratified (Bio celltypes_*.csv pending),provisional:Cdkn1a>0 (Bio senders_*.csv pending),provisional:z-mean of Tier B sets (Bio pending),sbr,2,7361,exponential,median_NN,45.59368314836772,,0.4442887004353653,31.8,136.6,0.9999962797951836,-599213.4634099932,-1451.806287448504,7133.902800179863,3,22.238273881371526,2.0066663408795264,89.18069995585591,45.59368314836772,45.59368314836772,31.8,31.8,0.025707220868450432,0.0
